kepid,kepoi_name,kepler_name,koi_score,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_kepmag
10797460,K00752.01,Kepler-227 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,9.48803557,0.146,2.9575,615.8,35.8,2.26,793.0,93.59,5455.0,4.467,0.927,15.347
10797460,K00752.02,Kepler-227 c,0.969,CONFIRMED,CANDIDATE,0,0,0,0,54.4183827,0.586,4.507,874.8,25.8,2.83,443.0,9.11,5455.0,4.467,0.927,15.347
10811496,K00753.01,,0.0,CANDIDATE,CANDIDATE,0,0,0,0,19.89913995,0.969,1.7822,10829.0,76.3,14.6,638.0,39.3,5853.0,4.544,0.868,15.436
10848459,K00754.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.736952453,1.276,2.40641,8079.2,505.6,33.46,1395.0,891.96,5805.0,4.564,0.791,15.597
10854555,K00755.01,Kepler-664 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,2.525591777,0.701,1.6545,603.3,40.9,2.75,1406.0,926.16,6031.0,4.438,1.046,15.509
10872983,K00756.01,Kepler-228 d,1.0,CONFIRMED,CANDIDATE,0,0,0,0,11.09432054,0.538,4.5945,1517.5,66.5,3.9,835.0,114.81,6046.0,4.486,0.972,15.714
10872983,K00756.02,Kepler-228 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.13443512,0.762,3.1402,686.0,40.2,2.77,1160.0,427.65,6046.0,4.486,0.972,15.714
10872983,K00756.03,Kepler-228 b,0.992,CONFIRMED,CANDIDATE,0,0,0,0,2.56658897,0.755,2.429,226.5,15.0,1.59,1360.0,807.74,6046.0,4.486,0.972,15.714
6721123,K00114.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,7.36178958,1.169,5.022,233.7,47.7,39.21,1342.0,767.22,6227.0,3.986,1.958,12.66
10910878,K00757.01,Kepler-229 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,16.06864674,0.052,3.5347,4914.3,161.9,5.76,600.0,30.75,5031.0,4.485,0.848,15.841
